experience_id,profile_id,title,company,start_date,end_date,city,country,description,employment_type
2b2c3533-47dd-4c45-813c-23c58608cf9d,42c651c0-a541-464d-bc6c-b39ea8cf718d,Director of Product,IBM,2021-02-07,2025-02-16,Santa Monica,United States,"• Refactored legacy code to enhance performance
• Architected and implemented an efficient solution for content delivery
• Successfully completed critical initiatives under budget",Full-time
ac15553e-af89-40ac-832b-3dc5147f6790,42c651c0-a541-464d-bc6c-b39ea8cf718d,Principal Engineer,Replit,2022-01-02,2025-01-16,Santa Monica,United States,"• Refactored monolithic application to enhance performance
• Reduced page load times by 66% through architectural improvements
• Collaborated with clients to define requirements
• Built and architected microservices for critical applications
• Implemented enhancements that reduced latency by 24%",Full-time
9859bcf6-6bf8-46a4-b0de-128f51cacca2,42c651c0-a541-464d-bc6c-b39ea8cf718d,Senior Product Manager,Comma.ai,2022-11-12,2024-11-01,Santa Monica,United States,"• Led a team of 4 engineers to complete critical projects
• Designed and built monitoring solutions that enhanced code quality
• Developed a scalable system using VS Code, Vue.js
• Built and maintained microservices for core applications
• Refactored outdated systems to reduce technical debt",Full-time
6d6b743f-e5eb-4275-852a-14541f292d5e,42c651c0-a541-464d-bc6c-b39ea8cf718d,Senior UX Designer,Datadog,2024-03-09,2024-10-05,Santa Monica,United States,"• Implemented improvements that improved efficiency by 92%
• Designed and built automation systems that enhanced code quality
• Built and maintained microservices for internal applications",Full-time
6a81aba9-9d95-4921-af7b-f871adc1e7e1,42c651c0-a541-464d-bc6c-b39ea8cf718d,Data Scientist,Dropbox,2023-01-26,2024-08-18,Palo Alto,United States,"• Developed predictive algorithms that enhanced decision-making by 77%
• Implemented data infrastructure to enable data-driven features
• Implemented enhancements that improved efficiency by 26%
• Created custom algorithms for anomaly detection
• Designed and built automation systems that enhanced code quality",Full-time
e94d8316-7032-43c0-9725-07162e35dc16,42c651c0-a541-464d-bc6c-b39ea8cf718d,Software Engineering Intern,Dropbox,2024-01-08,2024-08-05,Santa Monica,United States,"• Developed a scalable service using BDD, Vue.js
• Built and deployed ML models for core applications
• Successfully completed critical initiatives ahead of schedule",Internship
b3b0c1d9-c088-445a-b46b-3d25a794685c,79ce012d-94f4-4f29-a131-844497b78e0f,Principal Data Scientist,NVIDIA,2021-01-25,2025-02-03,Oakland,United States,"• Reduced page load times by 57% through innovative solutions
• Designed and built automation systems that enhanced code quality
• Led a team of 4 professionals to deliver key features
• Mentored 10 colleagues on technical skills",Full-time
f771fe3c-b592-4f1a-8031-d13b1c0a878c,79ce012d-94f4-4f29-a131-844497b78e0f,Senior Software Engineer,Nuro,2023-10-24,2024-11-17,Wellington,New Zealand,"• Built and architected frontend components for customer-facing applications
• Architected and implemented an efficient solution for recommendation system
• Drove implementation strategy for organization
• Reduced page load times by 81% through innovative solutions",Full-time
ec4ea34d-35c8-4680-9ad6-3ecf3eb1a3ed,79ce012d-94f4-4f29-a131-844497b78e0f,Software Engineer,Retool,2022-08-17,2024-09-05,Oakland,United States,"• Developed a high-performance system using IntelliJ, Lua
• Implemented improvements that improved efficiency by 47%
• Built and architected frontend components for critical applications
• Architected and implemented a scalable solution for content delivery",Full-time
875f47b5-38a4-44df-b1aa-87e152359f6d,79ce012d-94f4-4f29-a131-844497b78e0f,Software Engineering Intern,Jasper AI,2021-01-08,2024-06-21,Oakland,United States,"• Successfully delivered major features with positive customer feedback
• Designed and built internal tools that reduced manual effort
• Built and deployed APIs for customer-facing applications
• Implemented enhancements that reduced latency by 39%",Internship
