job_id,job_title,company,city,country,description,required_skills,posting_date,job_type,remote_status,industry,experience_level
b0781fe3-f8d8-46d2-8dab-ae6cc214a58b,Cloud Engineer,Blue Origin,Sunnyvale,United States,"
Blue Origin is pioneering the next generation of robotics.

# Role Overview
We're looking for a Cloud Engineer to help us build and scale our technology. You'll collaborate with cross-functional teams to deliver exceptional solutions that meet our users' needs.

# Key Responsibilities
• Write clean, maintainable, and well-tested code
• Participate in code reviews, architectural discussions, and technical decision-making
• Troubleshoot and debug complex issues across the stack
• Collaborate with cross-functional teams to define and implement new features
• Design, develop, and maintain critical infrastructure

# Qualifications
• Strong problem-solving skills and attention to detail
• Experience with PHP
• Bachelor's degree in Computer Science, Engineering, or related field
• 6+ years of relevant experience
• Experience with C#
• Experience with NestJS
• Excellent communication and collaboration abilities
• Experience with Spring Boot

# Benefits
• Flexible work arrangements
• Paid time off and holidays
• Competitive salary and equity compensation
• Comprehensive health, dental, and vision insurance
• Collaborative, innovative work environment
• Regular team building activities
• Opportunity to work on cutting-edge technologies

Blue Origin is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.
","PHP, C#, Spring Boot, NestJS, Pulumi, ELK Stack, Web Accessibility",2025-02-19,Full-time,Remote,Tech,Senior
bdd32e5e-54e5-4bde-9721-82a19b267a37,Computer Vision Engineer,Retool,Munich,Germany,"
Retool is a rapidly growing technology company valued at over $1B, disrupting traditional industries with innovative solutions.

# Role Overview
Retool is seeking a talented Computer Vision Engineer to join our growing team. In this role, you'll work on challenging problems and contribute to products used by millions of people worldwide.

# Key Responsibilities
• Monitor and improve model performance and data quality
• Build and optimize machine learning models
• Work with large, complex datasets and derive meaningful insights
• Research and implement state-of-the-art algorithms and approaches
• Collaborate with engineering teams to implement and deploy models to production

# Qualifications
• Strong problem-solving skills and attention to detail
• 6+ years of relevant experience
• Bachelor's degree in Computer Science, Engineering, or related field
• Experience with Kotlin
• Excellent communication and collaboration abilities
• Experience with Computer Vision

# Benefits
• Paid time off and holidays
• Flexible work arrangements
• 401(k) matching
• Competitive salary and equity compensation
• Startup culture with high impact opportunities
• Flexible work arrangements
• Equity in a high-growth company

Retool is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.
","PyTorch, Computer Vision, Kotlin, Haskell, Supabase, SQL, Chef, OAuth",2025-02-18,Full-time,Remote,Tech,Senior
c1d3d630-b649-4ced-9f08-cefb06391e84,Decision Scientist,Calendly,Mountain View,United States,"
Calendly is a rapidly growing technology company valued at over $1B, disrupting traditional industries with innovative solutions.

# Role Overview
We're looking for a Decision Scientist to help us build and scale our technology. You'll collaborate with cross-functional teams to deliver exceptional solutions that meet our users' needs.

# Key Responsibilities
• Build and optimize statistical models
• Collaborate with engineering teams to implement and deploy models to production
• Research and implement state-of-the-art algorithms and approaches
• Work with large, complex datasets and derive meaningful insights
• Monitor and improve model performance and data quality

# Qualifications
• Excellent communication and collaboration abilities
• Experience with Haskell
• Bachelor's degree in Computer Science, Engineering, or related field
• Strong problem-solving skills and attention to detail
• Experience with ONNX
• Experience with Hadoop

# Benefits
• 401(k) matching
• Comprehensive health, dental, and vision insurance
• Paid time off and holidays
• Competitive salary and equity compensation
• Regular team events and activities
• Startup culture with high impact opportunities
• Flexible work arrangements

Calendly is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.
","Hadoop, ONNX, Dask, Haskell, Elixir, C++, Supabase, Neo4j, CouchDB, Chef",2025-02-23,Full-time,Remote,Tech,Senior
db4f14a7-1fd4-4064-995d-eef615e161a6,Business Intelligence Analyst,Relativity Space,Dubai,United Arab Emirates,"
Relativity Space is pushing the boundaries of what's possible in clean energy.

# Role Overview
As a Business Intelligence Analyst at Relativity Space, you'll be instrumental in developing innovative solutions that drive our business forward. This is an opportunity to work on impactful projects in a collaborative environment.

# Key Responsibilities
• Collaborate with engineering teams to implement and deploy models to production
• Research and implement state-of-the-art algorithms and approaches
• Monitor and improve model performance and data quality
• Build and optimize data pipelines
• Work with large, complex datasets and derive meaningful insights

# Qualifications
• Strong problem-solving skills and attention to detail
• Experience with Spark
• Experience with Perl
• Excellent communication and collaboration abilities
• 5+ years of relevant experience
• Experience with Ray

# Benefits
• Comprehensive health, dental, and vision insurance
• Competitive salary and equity compensation
• Paid time off and holidays
• Flexible work arrangements
• Collaborative, innovative work environment
• Professional development opportunities
• Regular team building activities

Relativity Space is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.
","Ray, TensorFlow, Spark, Perl, Julia, PHP, DynamoDB, Oracle DB, SQLite, Azure",2024-12-19,Full-time,Hybrid,Tech,Senior
4c6f91bb-2d3e-4c8f-a348-f9204c702198,Interaction Designer,Relativity Space,Menlo Park,United States,"
Relativity Space is pushing the boundaries of what's possible in robotics.

# Role Overview
As a Interaction Designer at Relativity Space, you'll be instrumental in developing innovative solutions that drive our business forward. This is an opportunity to work on impactful projects in a collaborative environment.

# Key Responsibilities
• Define and track key metrics to measure product success
• Analyze user feedback and market trends to inform product decisions
• Lead the product development lifecycle from conception to launch
• Work closely with engineering, design, and other stakeholders to deliver successful products
• Define product requirements, specifications, and roadmaps based on user needs and business goals

# Qualifications
• Bachelor's degree in Computer Science, Engineering, or related field
• Strong problem-solving skills and attention to detail
• Experience with VS Code
• Experience with Vue.js
• 5+ years of relevant experience
• Experience with D3.js
• Excellent communication and collaboration abilities
• Experience with Responsive Design

# Benefits
• Paid time off and holidays
• Flexible work arrangements
• 401(k) matching
• Competitive salary and equity compensation
• Opportunity to work on cutting-edge technologies
• Regular team building activities
• Professional development opportunities

Relativity Space is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.
","D3.js, Vue.js, Responsive Design, VS Code, Linear, cURL, Agile, Distributed Systems, BDD, Rust",2025-01-02,Full-time,Onsite,Tech,Senior
3649b558-1f0c-478d-89ad-1e7405241aab,Network Engineer,Lucid Motors,Sunnyvale,United States,"
Lucid Motors is pushing the boundaries of what's possible in robotics.

# Role Overview
As a Network Engineer at Lucid Motors, you'll be instrumental in developing innovative solutions that drive our business forward. This is an opportunity to work on impactful projects in a collaborative environment.

# Key Responsibilities
• Develop and maintain applications using Java
• Develop security policies, procedures, and best practices
• Collaborate with development teams to ensure security is integrated into the development lifecycle
• Conduct security assessments, vulnerability testing, and risk analyses
• Design and implement security measures to protect systems, networks, and data
• Monitor systems for security breaches and respond to incidents

# Qualifications
• Bachelor's degree in Computer Science, Engineering, or related field, or equivalent practical experience
• Experience with Ethical Hacking
• 4+ years of relevant experience
• Excellent communication and collaboration abilities
• Experience with CI/CD
• Experience with Bioinformatics
• Strong problem-solving skills and attention to detail

# Benefits
• Paid time off and holidays
• Flexible work arrangements
• Comprehensive health, dental, and vision insurance
• 401(k) matching
• Regular team building activities
• Professional development opportunities
• Opportunity to work on cutting-edge technologies

Lucid Motors is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.
","Google Cloud, CI/CD, Ethical Hacking, Bioinformatics, Java, PHP, InfluxDB",2025-02-02,Full-time,Hybrid,Tech,Mid-level
06260df6-92b6-4f5b-90fb-6ff6ac23360f,Interaction Designer,Salesforce,Redmond,United States,"
At Salesforce, we're on a mission to organize the world's information and make it universally accessible and useful.

# Role Overview
Salesforce is seeking a talented Interaction Designer to join our growing team. In this role, you'll work on challenging problems and contribute to products used by millions of people worldwide.

# Key Responsibilities
• Lead the product development lifecycle from conception to launch
• Work closely with engineering, design, and other stakeholders to deliver successful products
• Define product requirements, specifications, and roadmaps based on user needs and business goals
• Define and track key metrics to measure product success
• Analyze user feedback and market trends to inform product decisions

# Qualifications
• Strong problem-solving skills and attention to detail
• Excellent communication and collaboration abilities
• Bachelor's degree in Computer Science, Engineering, or related field
• 4+ years of relevant experience
• Experience with Figma
• Experience with Bitbucket
• Experience with Kanban
• Experience with Vite

# Benefits
• Paid time off and holidays
• Comprehensive health, dental, and vision insurance
• Competitive salary and equity compensation
• Flexible work arrangements
• Learning and development stipends
• Transportation benefits or shuttle service
• Generous parental leave

Salesforce is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.
","Bitbucket, Figma, Kanban, Vite, Design Patterns",2025-01-29,Full-time,Onsite,Tech,Mid-level
bad3df4f-7ee3-409a-91c5-a358ae73a0e3,Cloud Engineer,Airtable,San Diego,United States,"
Founded in 2016, Airtable has quickly become a leader in the e-commerce space.

# Role Overview
As a Cloud Engineer at Airtable, you'll be instrumental in developing innovative solutions that drive our business forward. This is an opportunity to work on impactful projects in a collaborative environment.

# Key Responsibilities
• Design, develop, and maintain robust systems
• Troubleshoot and debug complex issues across the stack
• Participate in code reviews, architectural discussions, and technical decision-making
• Collaborate with cross-functional teams to define and implement new features
• Write clean, maintainable, and well-tested code
• Develop and maintain applications using Python

# Qualifications
• Excellent communication and collaboration abilities
• Experience with CircleCI
• Experience with SOAP
• Strong problem-solving skills and attention to detail
• Experience with Python
• Experience with Elixir

# Benefits
• Competitive salary and equity compensation
• 401(k) matching
• Paid time off and holidays
• Flexible work arrangements
• Flexible work arrangements
• Startup culture with high impact opportunities
• Regular team events and activities

Airtable is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.
","Elixir, CircleCI, Python, SOAP, Chef",2024-12-09,Full-time,Hybrid,Tech,Junior
c587193b-4a7a-4165-88a1-b986e638df11,UX Designer,ServiceNow,Portland,United States,"
As a leader in enterprise software, ServiceNow helps organizations transform their operations with powerful, scalable technology solutions.

# Role Overview
ServiceNow is seeking a talented UX Designer to join our growing team. In this role, you'll work on challenging problems and contribute to products used by millions of people worldwide.

# Key Responsibilities
• Define and track key metrics to measure product success
• Lead the product development lifecycle from conception to launch
• Work closely with engineering, design, and other stakeholders to deliver successful products
• Analyze user feedback and market trends to inform product decisions
• Define product requirements, specifications, and roadmaps based on user needs and business goals

# Qualifications
• 3+ years of relevant experience
• Experience with Colab
• Experience building responsive, accessible web applications
• Bachelor's degree in Computer Science, Engineering, or related field
• Excellent communication and collaboration abilities
• Experience with Responsive Design
• Strong problem-solving skills and attention to detail
• Experience with Svelte

# Benefits
• Paid time off and holidays
• Flexible work arrangements
• Comprehensive health, dental, and vision insurance
• 401(k) matching
• Work-life balance focus
• Professional development opportunities
• Global team collaboration opportunities

ServiceNow is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.
","Responsive Design, Svelte, Webpack, Colab, VS Code, PyCharm, Kanban, XP, Distributed Systems, Haskell",2025-02-01,Full-time,Hybrid,Tech,Mid-level
51c9b932-3e7b-4e99-ab80-3c3c8963ea16,Product Manager,Figma,Los Angeles,United States,"
Figma is a rapidly growing technology company valued at over $1B, disrupting traditional industries with innovative solutions.

# Role Overview
Figma is seeking a talented Product Manager to join our growing team. In this role, you'll work on challenging problems and contribute to products used by millions of people worldwide.

# Key Responsibilities
• Define and track key metrics to measure product success
• Lead the product development lifecycle from conception to launch
• Define product requirements, specifications, and roadmaps based on user needs and business goals
• Work closely with engineering, design, and other stakeholders to deliver successful products
• Analyze user feedback and market trends to inform product decisions

# Qualifications
• 1+ years of relevant experience
• Experience with Jira
• Bachelor's degree in Computer Science, Engineering, or related field
• Experience with Design Patterns
• Excellent communication and collaboration abilities
• Experience with Bitbucket
• Strong problem-solving skills and attention to detail

# Benefits
• 401(k) matching
• Competitive salary and equity compensation
• Comprehensive health, dental, and vision insurance
• Flexible work arrangements
• Regular team events and activities
• Startup culture with high impact opportunities
• Equity in a high-growth company

Figma is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.
","Design Patterns, Jira, Bitbucket, Functional Programming, WebGL",2025-02-14,Full-time,Hybrid,Tech,Junior
